m4id,assay,casrn,dtxsid,chemName,normalizedDataType,mechanisticTargets,ac50,acc,response units,topOfCurve,topOfCurve units,call,Concentration Response (Index:Concentration:Response)
9149035,CCTE_Simmons_AUR_TPO_dn,106-50-3,DTXSID9021138,"1,4-Benzenediamine",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:2.395),(1:0.09:2.861),(1:0.09:2.547),(2:0.3:5.987),(2:0.3:6.378),(2:0.3:6.696),(3:1:14.178),(3:1:15.494),(3:1:11.57),(4:5:34.272),(4:5:25.658),(4:5:33.219),(5:20:63.396),(5:20:67.788),(5:20:66.723),(6:90:71.23),(6:90:72.13),(6:90:68.626)"
9149101,CCTE_Simmons_AUR_TPO_dn,31519-22-9,DTXSID0037730,"1,4-Dihydroxy-2-naphthoic acid",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:-0.459),(1:0.09:-2.187),(1:0.09:-0.492),(2:0.3:1.724),(2:0.3:-0.275),(2:0.3:0.0257),(3:1:3.706),(3:1:3.022),(3:1:4.068),(4:5:8.388),(4:5:8.074),(4:5:7.749),(5:20:32.972),(5:20:29.826),(5:20:30.433),(6:90:82.427),(6:90:81.116),(6:90:82.885)"
9148979,CCTE_Simmons_AUR_TPO_dn,2243-62-1,DTXSID3020916,"1,5-Naphthalenediamine",percent_activity,Thyroid Hormone Generation,1.662,0.505,uM,95.442,percent_activity,Active,"(1:0.09:1.093),(1:0.09:0.491),(1:0.09:5.745),(2:0.3:5.554),(2:0.3:9.681),(2:0.3:19.721),(3:1:35.925),(3:1:33.571),(3:1:37.344),(4:5:73.046),(4:5:73.505),(4:5:74.189),(5:20:90.228),(5:20:87.487),(5:20:88.935),(6:90:94.79),(6:90:94.073),(6:90:97.404)"
9149250,CCTE_Simmons_AUR_TPO_dn,120-80-9,DTXSID3020257,"1,???2-???Benzenediol",percent_activity,Thyroid Hormone Generation,0.861,0.1,uM,85.777,percent_activity,Active,"(1:0.1:18.082),(1:0.1:21.666),(1:0.1:16.001),(2:0.4:34.918),(2:0.4:38.938),(2:0.4:30.66),(3:2:58.339),(3:2:59.315),(3:2:50.56),(4:6:57.82),(4:6:64.06),(4:6:64.487),(5:30:74.323),(5:30:72.101),(5:30:71.016),(6:100:83.434),(6:100:81.128),(6:100:81.503)"
9149047,CCTE_Simmons_AUR_TPO_dn,112-55-0,DTXSID6025220,1-Dodecanethiol,percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:-0.623),(1:0.09:0.285),(1:0.09:0.145),(2:0.3:5.738),(2:0.3:1.274),(2:0.3:0.559),(3:1:8.33),(3:1:7.101),(3:1:27.662),(4:5:72.393),(4:5:31.491),(4:5:33.201),(5:20:81.122),(5:20:74.598),(5:20:74.586),(6:90:81.632),(6:90:86.166),(6:90:85.285)"
9149000,CCTE_Simmons_AUR_TPO_dn,2687-96-9,DTXSID4042206,1-Dodecyl-2-pyrrolidinone,percent_activity,Thyroid Hormone Generation,23.226,25.973,uM,38.377,percent_activity,Active,"(1:0.09:6.155),(1:0.09:7.358),(1:0.09:4.057),(2:0.3:4.959),(2:0.3:4.91),(2:0.3:5.766),(3:1:-2.477),(3:1:3.485),(3:1:4.838),(4:5:3.594),(4:5:7.44),(4:5:14.52),(5:20:11.416),(5:20:26.956),(5:20:13.136),(6:90:29.089),(6:90:28.801),(6:90:31.981)"
9149238,CCTE_Simmons_AUR_TPO_dn,5315-79-7,DTXSID1038298,1-Hydroxypyrene,percent_activity,Thyroid Hormone Generation,14.929,1.562,uM,93.613,percent_activity,Active,"(1:0.09:6.717),(1:0.09:2.207),(1:0.09:4.043),(2:0.3:14.847),(2:0.3:16.56),(2:0.3:12.58),(3:1:16.201),(3:1:17.164),(3:1:19.409),(4:5:30.604),(4:5:29.539),(4:5:28.329),(5:20:47.918),(5:20:51.378),(5:20:45.515),(6:90:78.01),(6:90:71.474),(6:90:73.223)"
9149143,CCTE_Simmons_AUR_TPO_dn,2360-22-7,DTXSID40178252,"1-Methyl-1,3-dihydro-2H-benzimidazole-2-thione",percent_activity,Thyroid Hormone Generation,0.389,0.114,uM,80.036,percent_activity,Active,"(1:0.09:18.524),(1:0.09:15.038),(1:0.09:14.426),(2:0.3:36.569),(2:0.3:34.502),(2:0.3:35.053),(3:1:59.954),(3:1:57.523),(3:1:56.765),(4:5:70.498),(4:5:70.469),(4:5:68.926),(5:20:75.951),(5:20:77.043),(5:20:75.058),(6:90:85.006),(6:90:84.287),(6:90:82.63)"
9148861,CCTE_Simmons_AUR_TPO_dn,90-15-3,DTXSID6021793,1-Naphthol,percent_activity,Thyroid Hormone Generation,1.256,0.319,uM,97.104,percent_activity,Active,"(1:0.09:22.365),(1:0.09:6.622),(1:0.09:9.549),(2:0.3:8.987),(2:0.3:10.346),(2:0.3:23.392),(3:1:46.957),(3:1:37.802),(3:1:43.844),(4:5:80.014),(4:5:75.442),(4:5:79.34),(5:20:89.628),(5:20:87.917),(5:20:90.833),(6:90:96.795),(6:90:95.608),(6:90:97.076)"
9148797,CCTE_Simmons_AUR_TPO_dn,57-91-0,DTXSID8022377,17alpha-Estradiol,percent_activity,Thyroid Hormone Generation,5.823,3.025,uM,48.283,percent_activity,Active,"(1:0.09:6.156),(1:0.09:7.641),(1:0.09:4.83),(2:0.3:6.463),(2:0.3:7.627),(2:0.3:9.566),(3:1:8.993),(3:1:10.79),(3:1:15.855),(4:5:20.746),(4:5:26.14),(4:5:24.883),(5:20:37.361),(5:20:29.287),(5:20:31.419),(6:90:38.278),(6:90:46.408),(6:90:36.777)"
9149192,CCTE_Simmons_AUR_TPO_dn,57-63-6,DTXSID5020576,17alpha-Ethinylestradiol,percent_activity,Thyroid Hormone Generation,14.16,1.573,uM,82.319,percent_activity,Active,"(1:0.09:8.876),(1:0.09:8.552),(1:0.09:8.567),(2:0.3:11.658),(2:0.3:8.681),(2:0.3:11.014),(3:1:12.494),(3:1:15.121),(3:1:14.883),(4:5:25.415),(4:5:30.805),(4:5:36.946),(5:20:48.06),(5:20:45.052),(5:20:36.352),(6:90:60.996),(6:90:45.668),(6:90:68.599)"
9148977,CCTE_Simmons_AUR_TPO_dn,50-28-2,DTXSID0020573,17beta-Estradiol,percent_activity,Thyroid Hormone Generation,4.232,2.033,uM,57.972,percent_activity,Active,"(1:0.09:5.006),(1:0.09:4.949),(1:0.09:6.336),(2:0.3:3.777),(2:0.3:3.478),(2:0.3:2.344),(3:1:8.993),(3:1:13.207),(3:1:16.098),(4:5:32.787),(4:5:33.759),(4:5:27.297),(5:20:46.104),(5:20:47.289),(5:20:42.682),(6:90:55.617),(6:90:52.021),(6:90:55.311)"
9148733,CCTE_Simmons_AUR_TPO_dn,10161-33-8,DTXSID0034192,17beta-Trenbolone,percent_activity,Thyroid Hormone Generation,9.794,1.322,uM,98.204,percent_activity,Active,"(1:0.09:9.842),(1:0.09:9.846),(1:0.09:2.937),(2:0.3:12.966),(2:0.3:9.584),(2:0.3:1.29),(3:1:20.947),(3:1:16.167),(3:1:7.409),(4:5:22.757),(4:5:41.441),(4:5:36.654),(5:20:63.758),(5:20:56.888),(5:20:68.523),(6:90:83.684),(6:90:80.644),(6:90:72.933)"
9148966,CCTE_Simmons_AUR_TPO_dn,95-13-6,DTXSID8042052,1H-Indene,percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:3.089),(1:0.09:-0.0154),(1:0.09:1.247),(2:0.3:1.928),(2:0.3:3.146),(2:0.3:3.033),(3:1:1.249),(3:1:1.53),(3:1:2.658),(4:5:2.607),(4:5:2.556),(4:5:3.355),(5:20:7.904),(5:20:4.298),(5:20:6.414),(6:90:31.451),(6:90:24.027),(6:90:25.553)"
9148787,CCTE_Simmons_AUR_TPO_dn,131-55-5,DTXSID5041306,"2,2',4,4'-Tetrahydroxybenzophenone",percent_activity,Thyroid Hormone Generation,0.173,0.0417,uM,84.432,percent_activity,Active,"(1:0.09:31.707),(1:0.09:34.63),(1:0.09:25.486),(2:0.3:42.921),(2:0.3:53.351),(2:0.3:57.989),(3:1:55.873),(3:1:70.562),(3:1:74.601),(4:5:64.639),(4:5:79.382),(4:5:82.812),(5:20:68.785),(5:20:83.848),(5:20:87.249),(6:90:91.1),(6:90:75.415),(6:90:87.257)"
9149060,CCTE_Simmons_AUR_TPO_dn,79-95-8,DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",percent_activity,Thyroid Hormone Generation,20.927,11.739,uM,50.513,percent_activity,Active,"(1:0.09:-1.717),(1:0.09:-1.691),(1:0.09:-2.481),(2:0.3:1.44),(2:0.3:-0.973),(2:0.3:0.266),(3:1:8.049),(3:1:10.613),(3:1:7.244),(4:5:14.102),(4:5:14.964),(4:5:12.074),(5:20:24.178),(5:20:22.379),(5:20:23.218),(6:90:38.978),(6:90:42.094),(6:90:36.234)"
9148958,CCTE_Simmons_AUR_TPO_dn,18924-66-8,DTXSID5044865,"2,2'-(Tetradecylimino)diethanol",percent_activity,Thyroid Hormone Generation,42.458,27.051,uM,64.905,percent_activity,Active,"(1:0.09:-0.414),(1:0.09:2.224),(1:0.09:0.541),(2:0.3:0.17),(2:0.3:4.087),(2:0.3:5.032),(3:1:-0.723),(3:1:3.613),(3:1:2.504),(4:5:8.493),(4:5:7.207),(4:5:6.885),(5:20:13.153),(5:20:9.028),(5:20:14.136),(6:90:47.767),(6:90:53.35),(6:90:54.088)"
9148942,CCTE_Simmons_AUR_TPO_dn,119-47-1,DTXSID4020870,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",percent_activity,Thyroid Hormone Generation,0.798,0.302,uM,74.116,percent_activity,Active,"(1:0.09:7.502),(1:0.09:9.329),(1:0.09:6.427),(2:0.3:20.546),(2:0.3:16.568),(2:0.3:16.804),(3:1:44.471),(3:1:41.179),(3:1:42.485),(4:5:62.992),(4:5:63.374),(4:5:66.086),(5:20:69.143),(5:20:70.116),(5:20:68.794),(6:90:76.314),(6:90:74.929),(6:90:74.864)"
9148876,CCTE_Simmons_AUR_TPO_dn,88-24-4,DTXSID7038864,"2,2'-Methylenebis(ethyl-6-tert-butylphenol)",percent_activity,Thyroid Hormone Generation,1.419,0.603,uM,69.841,percent_activity,Active,"(1:0.09:1.936),(1:0.09:5.705),(1:0.09:7.826),(2:0.3:9.978),(2:0.3:10.682),(2:0.3:12.088),(3:1:28.697),(3:1:27.194),(3:1:28.991),(4:5:55.741),(4:5:56.524),(4:5:55.592),(5:20:64.63),(5:20:64.586),(5:20:64.53),(6:90:69.479),(6:90:69.778),(6:90:69.792)"
9148676,CCTE_Simmons_AUR_TPO_dn,2971-36-0,DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",percent_activity,Thyroid Hormone Generation,4.042,0.379,uM,104.065,percent_activity,Active,"(1:0.005:4.934),(1:0.005:4.82),(1:0.005:3.295),(2:0.02:1.228),(2:0.02:5.188),(2:0.02:2.256),(3:0.09:7.278),(3:0.09:6.76),(3:0.09:5.08),(4:0.3:17.781),(4:0.3:18.126),(4:0.3:19.128),(5:1:34.595),(5:1:37.253),(5:1:30.871),(6:5:55.936),(6:5:53.717),(6:5:54.479),(7:20:73.358),(7:20:75.954),(7:20:76.165),(8:90:89.982),(8:90:90.181),(8:90:91.432)"
9148988,CCTE_Simmons_AUR_TPO_dn,10222-01-2,DTXSID5032361,"2,2-Dibromo-3-nitrilopropionamide",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,Inactive,"(1:0.09:2.545),(1:0.09:3.724),(1:0.09:4.675),(2:0.3:4.537),(2:0.3:3.836),(2:0.3:4.61),(3:1:6.469),(3:1:5.787),(3:1:6.68),(4:5:6.86),(4:5:8.356),(4:5:7.365),(5:20:6.468),(5:20:5.916),(5:20:9.156),(6:90:8.745),(6:90:26.371),(6:90:18.79)"
9149128,CCTE_Simmons_AUR_TPO_dn,1143-72-2,DTXSID6037728,"2,3,4-Trihydroxbenzophenone",percent_activity,Thyroid Hormone Generation,1.838,0.322,uM,92.073,percent_activity,Active,"(1:0.09:13.426),(1:0.09:11.115),(1:0.09:10.172),(2:0.3:23.733),(2:0.3:19.051),(2:0.3:16.912),(3:1:36.007),(3:1:30.496),(3:1:26.447),(4:5:73.499),(4:5:64.907),(4:5:56.989),(5:20:80.254),(5:20:79.721),(5:20:79.986),(6:90:86.063),(6:90:85.09),(6:90:86.496)"
9149227,CCTE_Simmons_AUR_TPO_dn,2416-94-6,DTXSID6022187,"2,3,6-Trimethylphenol",percent_activity,Thyroid Hormone Generation,12.087,3.092,uM,87.466,percent_activity,Active,"(1:0.09:10.375),(1:0.09:5.693),(2:0.3:6.383),(2:0.3:2.518),(3:1:9.604),(3:1:7.77),(4:5:23.012),(4:5:27.323),(5:20:56.201),(5:20:53.297),(6:90:75.226),(6:90:73.951)"
9148742,CCTE_Simmons_AUR_TPO_dn,2687-25-4,DTXSID4027494,"2,3-Diaminotoluene",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:12.872),(1:0.09:9.069),(1:0.09:5.464),(2:0.4:13.017),(2:0.4:7.057),(2:0.4:13.447),(3:1:28.789),(3:1:20.731),(3:1:22.1),(4:6:69.923),(4:6:60.012),(4:6:66.02),(5:20:75.46),(5:20:74.071),(5:20:73.259),(6:90:81.57),(6:90:81.271),(6:90:80.209)"
9148896,CCTE_Simmons_AUR_TPO_dn,1563-38-8,DTXSID2027414,"2,3-Dihydro-2,2-dimethyl-7-benzofuranol",percent_activity,Thyroid Hormone Generation,10.983,1.648,uM,88.861,percent_activity,Active,"(1:0.09:2.844),(1:0.09:6.192),(1:0.09:9.886),(2:0.3:4.691),(2:0.3:9.573),(2:0.3:5.486),(3:1:19.309),(3:1:15.342),(3:1:17.304),(4:5:37.112),(4:5:29.921),(4:5:29.762),(5:20:54.711),(5:20:50.382),(5:20:50.357),(6:90:74.051),(6:90:71.285),(6:90:72.203)"
9149020,CCTE_Simmons_AUR_TPO_dn,526-75-0,DTXSID6025143,"2,3-Dimethylphenol",percent_activity,Thyroid Hormone Generation,21.507,36.747,uM,32.787,percent_activity,Active,"(1:0.09:1.357),(1:0.09:-1.289),(1:0.09:-1.217),(2:0.4:4.588),(2:0.4:-0.629),(2:0.4:-0.05),(3:1:2.98),(3:1:3.474),(3:1:4.527),(4:6:10.224),(4:6:6.789),(4:6:5.469),(5:20:16.707),(5:20:15.568),(5:20:15.704),(6:90:27.322),(6:90:25.043),(6:90:24.037)"
9148773,CCTE_Simmons_AUR_TPO_dn,527-60-6,DTXSID7022049,"2,4,6-Trimethylphenol",percent_activity,Thyroid Hormone Generation,6.813,1.134,uM,85.524,percent_activity,Active,"(1:0.09:3.743),(1:0.09:2.763),(1:0.09:17.059),(2:0.3:6.226),(2:0.3:6.541),(2:0.3:22.98),(3:1:16.566),(3:1:13.444),(3:1:35.532),(4:5:33.246),(4:5:31.709),(4:5:49.537),(5:20:55.332),(5:20:68.26),(5:20:57.418),(6:90:70.054),(6:90:67.297),(6:90:78.519)"
9149239,CCTE_Simmons_AUR_TPO_dn,732-26-3,DTXSID2021311,"2,4,6-Tris(tert-butyl)phenol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:-0.0515),(1:0.09:6.167),(1:0.09:-1.589),(2:0.3:6.009),(2:0.3:1.849),(2:0.3:7.748),(3:1:19.878),(3:1:25.328),(3:1:16.568),(4:5:48.832),(4:5:48.633),(4:5:50.622),(5:20:59.521),(5:20:62.486),(5:20:59.418),(6:90:70.473),(6:90:69.209),(6:90:67.292)"
9148826,CCTE_Simmons_AUR_TPO_dn,2772-45-4,DTXSID7029241,"2,4-Bis(1-methyl-1-phenylethyl)phenol",percent_activity,Thyroid Hormone Generation,25.043,8.089,uM,67.384,percent_activity,Active,"(1:0.09:5.419),(1:0.09:4.674),(1:0.09:3.563),(2:0.3:3.538),(2:0.3:2.67),(2:0.3:4.531),(3:1:5.873),(3:1:3.452),(3:1:10.331),(4:5:14.055),(4:5:12.855),(4:5:14.388),(5:20:30.388),(5:20:31.12),(5:20:31.967),(6:90:48.195),(6:90:48.575),(6:90:56.153)"
9149222,CCTE_Simmons_AUR_TPO_dn,96-76-4,DTXSID2026602,"2,4-Di-tert-butylphenol",percent_activity,Thyroid Hormone Generation,17.609,4.709,uM,82.868,percent_activity,Active,"(1:0.09:0.851),(1:0.09:-5.029),(2:0.3:6.918),(2:0.3:0.511),(3:1:10.243),(3:1:7.33),(4:5:17.229),(4:5:20.247),(5:20:47.016),(5:20:42.759),(6:90:69.056),(6:90:63.714)"
9148737,CCTE_Simmons_AUR_TPO_dn,120-95-6,DTXSID9026974,"2,4-Di-tert-pentylphenol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:13.333),(1:0.09:5.584),(1:0.09:8.835),(2:0.3:11.002),(2:0.3:11.384),(2:0.3:19.688),(3:1:30.688),(3:1:24.513),(3:1:20.525),(4:5:48.218),(4:5:44.616),(4:5:36.775),(5:20:69.185),(5:20:66.042),(5:20:61.491),(6:90:80.449),(6:90:77.977),(6:90:73.941)"
9148989,CCTE_Simmons_AUR_TPO_dn,95-80-7,DTXSID4020402,"2,4-Diaminotoluene",percent_activity,Thyroid Hormone Generation,12.966,1.644,uM,107.946,percent_activity,Active,"(1:0.09:13.768),(1:0.09:12.06),(1:0.09:12.341),(2:0.3:6.368),(2:0.3:10.075),(2:0.3:8.125),(3:1:15.541),(3:1:13.62),(3:1:14.527),(4:5:31.934),(4:5:30.586),(4:5:35.464),(5:20:60.434),(5:20:71.038),(5:20:65.973),(6:90:87.119),(6:90:89.955),(6:90:80.998)"
9149125,CCTE_Simmons_AUR_TPO_dn,131-56-6,DTXSID8022406,"2,4-Dihydroxybenzophenone",percent_activity,Thyroid Hormone Generation,4.191,0.275,uM,90.679,percent_activity,Active,"(1:0.09:12.152),(1:0.09:17.528),(1:0.09:15.119),(2:0.3:24.893),(2:0.3:22.622),(2:0.3:20.38),(3:1:29.905),(3:1:28.249),(3:1:27.084),(4:5:49.686),(4:5:46.633),(4:5:44.995),(5:20:60.88),(5:20:60.766),(5:20:59.623),(6:90:75.565),(6:90:75.2),(6:90:73.644)"
9149213,CCTE_Simmons_AUR_TPO_dn,626-03-9,DTXSID90274238,"2,4-Dihydroxypyridine",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,Inactive,"(1:0.08:15.636),(1:0.08:6.186),(1:0.08:16.742),(2:0.3:5.231),(2:0.3:15.313),(2:0.3:14.229),(3:1:4.668),(3:1:17.16),(3:1:17.159),(4:5:1.542),(4:5:16.673),(4:5:28.203),(5:20:1.164),(5:20:17.247),(5:20:13.727),(6:90:13.365),(6:90:-2.434),(6:90:16.956)"
9148962,CCTE_Simmons_AUR_TPO_dn,2934-05-6,DTXSID7042273,"2,4-Diisopropylphenol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:5.539),(1:0.09:5.304),(1:0.09:5.287),(2:0.3:5.006),(2:0.3:3.99),(2:0.3:7.01),(3:1:3.461),(3:1:4.37),(3:1:2.937),(4:5:7.286),(4:5:10.981),(4:5:8.705),(5:20:24.215),(5:20:22.567),(5:20:22.926),(6:90:52.858),(6:90:52.42),(6:90:51.69)"
9148740,CCTE_Simmons_AUR_TPO_dn,105-67-9,DTXSID2021864,"2,4-Dimethylphenol",percent_activity,Thyroid Hormone Generation,21.443,13.453,uM,54.191,percent_activity,Active,"(1:0.09:5.974),(1:0.09:6.223),(1:0.09:14.294),(2:0.4:6.746),(2:0.4:3.459),(2:0.4:-0.65),(3:1:2.466),(3:1:1.766),(3:1:4.188),(4:6:9.699),(4:6:9.671),(4:6:7.054),(5:20:25.493),(5:20:25.382),(5:20:40.392),(6:90:44.123),(6:90:43.412),(6:90:48.864)"
9148812,CCTE_Simmons_AUR_TPO_dn,88-58-4,DTXSID8041248,"2,5-Di-tert-butylbenzene-1,4-diol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.1:5.167),(1:0.1:1.261),(1:0.1:3.803),(2:0.4:8.784),(2:0.4:7.047),(2:0.4:5.824),(3:2:24.583),(3:2:19.363),(3:2:22.252),(4:6:59.871),(4:6:64.823),(4:6:61.238),(5:20:86.865),(5:20:84.13),(5:20:82.726),(6:100:88.427),(6:100:89.428),(6:100:88.654)"
9148911,CCTE_Simmons_AUR_TPO_dn,4130-42-1,DTXSID0029262,"2,6-Di-tert-butyl-4-ethylphenol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:2.758),(1:0.09:1.902),(1:0.09:-0.101),(2:0.3:3.569),(2:0.3:0.555),(2:0.3:3.67),(3:1:13.461),(3:1:17.488),(3:1:13.868),(4:5:39.538),(4:5:38.366),(4:5:35.973),(5:20:52.508),(5:20:51.624),(5:20:50.048),(6:90:66.429),(6:90:64.817),(6:90:63.554)"
9148936,CCTE_Simmons_AUR_TPO_dn,489-01-0,DTXSID8041379,"2,6-Di-tert-butyl-4-methoxyphenol",percent_activity,Thyroid Hormone Generation,NA,NA,uM,NA,percent_activity,QC-Omit,"(1:0.09:1.741),(1:0.09:0.813),(1:0.09:1.233),(2:0.3:8.662),(2:0.3:6.276),(2:0.3:7.112),(3:1:23.033),(3:1:16.029),(3:1:17.509),(4:5:71.999),(4:5:70.458),(4:5:69.229),(5:20:74.86),(5:20:74.243),(5:20:73.824),(6:90:76.746),(6:90:77.422),(6:90:77.453)"
